"performer","song","duration_ms","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","spotify_popularity","billboard_weeks"
"Otis Redding","Pain In My Heart",146746,0.453,0.276,10,-11.535,1,0.0393,0.733,0.000228,0.126,0.597,163.323,3,46,11
"Jimmy Eat World","Pain",181306,0.39,0.965,0,-3.38,0,0.119,0.0181,0,0.583,0.195,168.006,4,61,2
"The Rolling Stones","Paint It, Black",202266,0.469,0.8,5,-9.241,0,0.11,0.0601,0.0033,0.393,0.591,158.716,4,79,11
"Tracy Lawrence","Paint Me A Birmingham",231053,0.519,0.52,6,-4.547,1,0.03,0.0757,0,0.166,0.281,129.862,4,61,16
"Ian Thomas","Painted Ladies",253002,0.523,0.389,4,-10.754,0,0.0295,0.566,1.02e-06,0.215,0.138,119.983,4,9,14
"The Silencers","Painted Moon",365000,0.611,0.668,9,-10.164,1,0.0318,0.0705,0.486,0.08,0.251,125.264,4,30,6
"Commodores","Painted Picture",296266,0.763,0.525,0,-14.098,1,0.111,0.149,0.0666,0.146,0.615,83.916,4,8,6
"Al Martino","Painted, Tainted Rose",167866,0.348,0.309,7,-13.268,1,0.0288,0.58,3.85e-06,0.334,0.403,103.603,4,13,12
"Lou Christie","Painter",183800,0.617,0.488,7,-9.567,0,0.035,0.266,0,0.11,0.685,136.236,4,3,5
"Three Days Grace","Pain",202973,0.416,0.741,7,-4.001,1,0.0335,0.00804,0,0.273,0.286,160.515,4,68,20
"Freddy Cannon","Palisades Park",113213,0.283,0.831,1,-6.151,1,0.0612,0.347,0,0.11,0.874,82.128,4,37,15
"George Baker Selection","Paloma Blanca",212333,0.697,0.712,5,-10.605,1,0.0316,0.184,5.35e-05,0.196,0.943,132.801,4,51,15
"Toto","Pamela",309533,0.584,0.414,9,-16.409,0,0.0289,0.13,0.000616,0.064,0.532,97.56,4,54,19
"Van Halen","Panama",210226,0.527,0.978,8,-5.436,1,0.109,0.00124,4.75e-05,0.0744,0.463,141.169,4,74,15
"Desiigner","Panda",247866,0.72,0.748,10,-5.522,0,0.393,0.0235,0,0.369,0.246,145.22,4,72,40
"The Association","Pandora's Golden Heebie Jeebies",171133,0.495,0.536,3,-11.432,1,0.0338,0.351,0,0.193,0.395,132.111,4,10,7
"Silversun Pickups","Panic Switch",343906,0.163,0.885,5,-4.623,0,0.0725,0.000202,0.0121,0.228,0.549,198.556,3,59,1
"Lil Nas X","Panini",114893,0.703,0.594,5,-6.146,0,0.0752,0.342,0,0.123,0.475,153.848,4,85,32
"General Larry Platt","Pants On The Ground",210546,0.836,0.768,6,-5.47,0,0.0969,0.0295,0,0.513,0.613,95.025,4,23,3
"Glee Cast","Papa Can You Hear Me?",211000,0.345,0.127,10,-14.331,0,0.04,0.952,1.55e-05,0.0921,0.174,72.73,3,37,1
"Kelly Osbourne","Papa Don't Preach",205253,0.451,0.898,5,-2.801,0,0.0346,1.52e-05,0.0375,0.112,0.682,143.744,4,36,2
"Madonna","Papa Don't Preach",345280,0.807,0.906,5,-8.973,0,0.0371,0.311,0.000791,0.0248,0.971,121.54,4,65,18
"The Temptations","Papa Was A Rollin' Stone",419640,0.817,0.405,10,-13.513,0,0.0811,0.451,0.0507,0.0468,0.898,121.467,4,69,16
"The Undisputed Truth","Papa Was A Rollin' Stone",206440,0.684,0.432,3,-13.703,0,0.0837,0.433,9.96e-06,0.0731,0.763,117.403,4,29,5
"Joe Tex","Papa Was Too",176947,0.653,0.721,10,-4.713,0,0.107,0.216,0,0.338,0.563,91.979,4,18,7
"Otis Redding","Papa's Got A Brand New Bag",149973,0.75,0.756,10,-10.419,0,0.0802,0.14,0.00096,0.36,0.96,131.46,4,41,9
"Lady Gaga","Paparazzi",208306,0.755,0.688,8,-3.97,1,0.0535,0.0947,0,0.0852,0.429,114.928,4,64,27
"Xzibit","Paparazzi",236306,0.675,0.642,8,-10.237,0,0.351,0.856,0.0164,0.176,0.568,92.397,4,42,6
"The 5th Dimension","Paper Cup",163880,0.667,0.473,7,-13.054,1,0.0347,0.624,0,0.153,0.714,114.984,4,13,7
"John Mayer","Paper Doll",257386,0.658,0.475,7,-11.703,1,0.0292,0.521,0.0067,0.176,0.685,153.851,4,62,1
"P.M. Dawn","Paper Doll",293426,0.725,0.894,6,-9.122,0,0.0838,0.00476,0.259,0.0489,0.529,105.723,4,31,12
"John Mellencamp","Paper In Fire",231200,0.623,0.889,4,-4.741,1,0.0432,0.00139,0.000403,0.0586,0.579,141.992,4,48,16
"Dionne Warwick","Paper Mache",179786,0.68,0.23,5,-13.942,1,0.054,0.745,0,0.0866,0.543,132.796,4,22,7
"M.I.A.","Paper Planes",203760,0.457,0.854,2,-6.2,1,0.265,0.0277,9.62e-05,0.731,0.485,172.231,4,71,20
"Taylor Swift","Paper Rings",222400,0.811,0.719,9,-6.553,1,0.0497,0.0129,1.36e-05,0.0742,0.865,103.979,4,76,1
"Anita Bryant","Paper Roses",171986,0.301,0.325,7,-8.847,1,0.0311,0.669,1.9e-06,0.16,0.298,116.644,4,11,17
"Marie Osmond","Paper Roses",158973,0.367,0.506,8,-10.522,1,0.0378,0.32,1.53e-05,0.336,0.664,114.45,4,40,16
"Traffic featuring Stevie Winwood","Paper Sun",255173,0.472,0.671,2,-12.15,1,0.0547,0.401,0.000265,0.113,0.512,132.031,4,30,1
"Sue Thompson","Paper Tiger",144306,0.723,0.74,2,-9.127,1,0.028,0.683,0.000338,0.105,0.853,133.958,4,14,10
"The Beatles","Paperback Writer",138200,0.472,0.856,7,-6.03,1,0.0562,0.147,2.78e-06,0.595,0.841,78.696,4,64,10
"Genesis","Paperlate",203493,0.617,0.958,7,-4.495,1,0.0615,0.107,0.000146,0.376,0.774,121.817,4,27,14
"Queen Latifah Featuring Apache","Paper",240933,0.886,0.533,1,-8.096,1,0.0643,0.0241,0.0779,0.134,0.641,107.875,4,13,10
"Usher","Papers",261413,0.802,0.556,1,-5.395,1,0.0418,0.0339,0,0.0958,0.158,120.047,4,48,16
"Jennifer Lopez","Papi",223493,0.707,0.805,4,-4.797,0,0.0594,0.132,0.000135,0.413,0.895,120.038,4,43,3
"Chris Stapleton","Parachute",253200,0.642,0.762,6,-7.411,1,0.0296,0.00967,5.72e-05,0.182,0.605,113.038,4,70,5
"Meat Loaf","Paradise By The Dashboard Light",508333,0.326,0.872,2,-7.602,1,0.122,0.214,0,0.461,0.492,173.381,4,67,10
"Guns N' Roses","Paradise City",405600,0.268,0.98,11,-5.958,1,0.103,0.0192,0.00709,0.182,0.395,100.315,4,72,17
"Bazzi","Paradise",169038,0.844,0.644,11,-6.273,0,0.0479,0.0828,0,0.113,0.591,122.061,4,84,3
"Big Sean","Paradise",215440,0.796,0.646,11,-5.596,1,0.271,0.0496,0,0.111,0.272,127.943,4,56,1
"Change","Paradise",312960,0.825,0.941,9,-5.072,1,0.049,0.126,0.00137,0.421,0.838,115.391,4,24,4
"Coldplay","Paradise",278719,0.449,0.585,5,-6.762,1,0.0268,0.0522,8.49e-05,0.0833,0.203,139.627,4,79,32
"LL Cool J Featuring Amerie","Paradise",275066,0.777,0.835,5,-3.068,0,0.2,0.0209,2e-05,0.208,0.791,97.876,4,50,15
"Sade","Paradise",217466,0.739,0.791,1,-7.873,1,0.0377,0.309,0.397,0.0679,0.968,99.82,4,56,15
"Sammy Turner","Paradise",123826,0.519,0.34,7,-11.927,1,0.0313,0.942,0.893,0.263,0.659,98.391,4,3,11
"Finger Eleven","Paralyzer",208106,0.645,0.941,4,-3.425,0,0.0448,0.169,0,0.251,0.881,106.015,4,70,50
"SOB X RBE","Paramedic!",219306,0.856,0.652,1,-5.324,1,0.143,0.177,0,0.193,0.471,97.017,4,70,4
"Black Sabbath","Paranoid",168405,0.415,0.658,4,-12.051,0,0.0696,4.52e-05,0.000735,0.176,0.45,163.015,4,70,8
"Jonas Brothers","Paranoid",218266,0.638,0.846,10,-4.415,1,0.0425,0.00155,0,0.132,0.781,120.993,4,58,7
"Post Malone","Paranoid",221786,0.61,0.554,0,-5.501,1,0.137,0.0379,3.84e-05,0.166,0.244,159.85,4,77,6
"Ty Dolla $ign Featuring B.o.B","Paranoid",216520,0.858,0.398,1,-11.306,1,0.0598,0.00888,0,0.112,0.258,97.476,4,66,20
"Joe Cocker","Pardon Me Sir",201106,0.634,0.56,7,-11.983,0,0.0408,0.479,8.11e-06,0.105,0.727,107.906,3,12,8
"The Chainsmokers","Paris",221520,0.646,0.644,2,-6.763,1,0.031,0.0243,0,0.0888,0.251,99.999,4,77,20
"Lee Brice","Parking Lot Party",207893,0.54,0.86,1,-5.763,1,0.081,0.00646,0,0.629,0.856,171.72,4,57,20
"Method Man & Redman","Part II",244600,0.774,0.85,10,-5.07,0,0.386,0.0427,0,0.313,0.816,95.996,4,58,12
"Glenn Frey","Part Of Me, Part Of You",358000,0.661,0.672,9,-8.288,1,0.0281,0.0554,2.95e-05,0.0672,0.417,127.303,4,44,13
"Katy Perry","Part Of Me",216160,0.678,0.918,5,-4.63,1,0.0355,0.000417,0,0.0744,0.769,130.028,4,73,22
"Dan Fogelberg","Part Of The Plan",198133,0.65,0.732,2,-14.004,1,0.0356,0.506,4.68e-06,0.0601,0.838,144.473,4,35,9
"Ann Peebles","Part Time Love",174973,0.777,0.457,0,-11.894,1,0.0333,0.0621,0.000265,0.137,0.854,99.646,4,42,11
"Gladys Knight And The Pips","Part Time Love",151360,0.479,0.288,6,-9.644,0,0.0329,0.873,8.68e-05,0.118,0.105,125.233,4,16,11
"Little Johnny Taylor","Part Time Love",228333,0.414,0.489,0,-10.996,1,0.0356,0.596,0.000171,0.195,0.532,91.351,3,9,13
"Beyonce","Partition",319466,0.412,0.441,11,-11.523,0,0.291,0.0296,0.0726,0.306,0.174,185.571,4,72,21
"Queen Pen Featuring Teddy Riley, Nutta Butta, Markell & Jesse Wes","Party Ain't A Party",250200,0.559,0.804,6,-6.429,0,0.226,0.0323,0,0.549,0.56,93.242,4,42,4
"Eddie Murphy","Party All The Time",253293,0.699,0.696,11,-13.045,1,0.0458,0.0098,0.000345,0.0427,0.673,135.027,4,59,22
"Bernadette Carroll","Party Girl",139440,0.502,0.756,9,-9.727,1,0.0531,0.829,0.188,0.0846,0.769,123.343,4,19,9
"StaySolidRocky","Party Girl",147800,0.728,0.431,6,-9.966,0,0.0622,0.749,0,0.0996,0.629,130.022,4,79,20
"Tommy Roe","Party Girl",163133,0.662,0.589,2,-10.75,1,0.0592,0.356,0,0.318,0.89,136.84,4,6,3
"Miley Cyrus","Party In The U.S.A.",202066,0.652,0.698,10,-4.667,0,0.042,0.00112,0.000115,0.0886,0.47,96.021,4,74,28
"Claudine Clark","Party Lights",143133,0.645,0.6,0,-7.948,1,0.238,0.0661,0,0.101,0.701,135.593,4,28,15
"Natalie Cole","Party Lights",248640,0.653,0.868,7,-6.987,1,0.169,0.0347,0.000181,0.182,0.725,132.404,4,7,4
"Shop Boyz","Party Like A Rockstar",253400,0.614,0.701,7,-4.728,1,0.0446,0.00581,0,0.495,0.681,144.99,4,57,22
"Andrea True Connection","Party Line",406933,0.63,0.737,8,-10.217,1,0.0273,0.0621,0.188,0.132,0.648,110.121,4,9,4
"The Weeknd","Party Monster",249213,0.572,0.631,1,-8.389,1,0.104,0.188,2.31e-05,0.259,0.219,77.519,4,75,19
"Mac Miller","Party On Fifth Ave.",173516,0.594,0.823,9,-5.21,1,0.332,0.0635,0,0.095,0.663,97.101,4,61,6
"Nelly Featuring Fergie","Party People",238573,0.661,0.844,1,-3.978,1,0.323,0.345,0,0.622,0.602,163.917,4,39,10
"LMFAO Featuring Lauren Bennett & GoonRock","Party Rock Anthem",262173,0.75,0.727,5,-4.21,0,0.142,0.0189,0,0.266,0.359,129.993,4,68,68
"Wyclef Jean Featuring Missy Elliott","Party To Damascus",243400,0.691,0.873,8,-3.519,1,0.151,0.125,0,0.0913,0.538,99.997,4,24,9
"DMX","Party Up (Up In Here)",297040,0.736,0.834,1,-3.052,0,0.0969,0.077,0,0.407,0.234,100.979,4,54,22
"Beyonce Featuring Andre 3000","Party",245480,0.648,0.593,10,-6.267,1,0.0506,0.0188,0,0.169,0.712,160.979,4,63,18
"Chris Brown Featuring Usher & Gucci Mane","Party",220813,0.762,0.576,1,-4.951,0,0.0829,0.0556,0,0.0869,0.316,142.096,4,67,20
"Prince","Partyman",191560,0.846,0.617,9,-11.6,1,0.0806,0.0521,0.00109,0.797,0.835,117.75,4,47,10
"Van Mccoy","Party",255045,0.818,0.593,4,-19.145,0,0.0562,0.28,0.589,0.326,0.923,115.177,4,2,5
"Peggy Lee","Pass Me By",145773,0.832,0.489,8,-10.863,1,0.138,0.575,0.000192,0.0931,0.882,120.089,4,36,3
"Quavo Featuring 21 Savage","Pass Out",224903,0.917,0.786,11,-4.921,0,0.208,0.0403,0,0.195,0.441,143.038,4,62,1
"Missy Elliott","Pass That Dutch",217200,0.899,0.645,10,-11.621,0,0.271,0.0435,0.101,0.358,0.348,110.895,4,59,15
"B.J. Thomas","Pass The Apple Eve",144560,0.594,0.425,2,-13.805,1,0.0296,0.454,0,0.568,0.911,129.069,4,4,3
"Busta Rhymes Featuring P. Diddy & Pharrell","Pass The Courvoisier Part II",230506,0.775,0.897,9,-8.327,1,0.106,0.0234,4.19e-05,0.536,0.719,127.004,4,8,20
"Musical Youth","Pass The Dutchie",205426,0.805,0.418,7,-14.374,1,0.0979,0.459,0,0.288,0.966,149.724,4,61,18
"SHeDAISY","Passenger Seat",205160,0.465,0.85,9,-3.224,1,0.0403,0.0304,1.12e-06,0.0268,0.785,156.111,4,30,8
"The Pharcyde","Passin' Me By",303493,0.759,0.756,4,-8.145,0,0.266,0.0903,2.36e-06,0.265,0.613,87.059,4,68,17
"Mary Chapin Carpenter","Passionate Kisses",201906,0.625,0.819,2,-6.142,1,0.0361,0.589,0,0.201,0.733,139.642,4,44,11
"Drake","Passionfruit",298940,0.804,0.459,11,-11.556,1,0.039,0.304,0.0862,0.11,0.372,111.963,4,81,20
"K5","Passion",246012,0.726,0.667,8,-7.576,1,0.058,0.136,0.858,0.0768,0.584,127.004,4,17,3
"Rod Stewart","Passion",333200,0.692,0.525,9,-12.691,1,0.0373,0.0212,0.0019,0.0944,0.0879,103.679,4,39,20
"The Shangri-Las","Past, Present And Future",160266,0.359,0.211,8,-15.451,1,0.035,0.796,0.0509,0.13,0.255,129.064,4,27,6
"Miriam Makeba","Pata Pata",180174,0.809,0.882,3,-3.544,1,0.0356,0.378,0,0.0759,0.969,126.046,4,40,11
"Frankie Valli & The 4 Seasons","Patch Of Blue",185013,0.498,0.727,10,-7.511,1,0.0409,0.264,0,0.0477,0.733,115.379,4,9,2
"Clarence Carter","Patches",193826,0.639,0.544,4,-12.843,1,0.141,0.617,0,0.479,0.793,80.844,4,48,14
"Dickey Lee","Patches",189240,0.667,0.173,8,-16.231,1,0.0298,0.634,0,0.128,0.296,106.115,3,24,14
"Future & Young Thug Featuring Offset","Patek Water",189480,0.86,0.561,6,-5.757,0,0.185,0.274,0,0.108,0.354,152.984,4,63,4
"Guns N' Roses","Patience",354880,0.457,0.297,6,-12.511,1,0.0306,0.686,0.000107,0.109,0.333,120.021,4,67,18
"Perez Prado And His Orchestra","Patricia",140000,0.699,0.715,1,-5.976,1,0.0391,0.18,0.415,0.0704,0.81,137.373,4,27,14
"Jack Scott","Patsy",149626,0.643,0.64,0,-10.396,1,0.0495,0.665,0,0.308,0.756,110.928,4,4,4
"Johnny Crawford","Patti Ann",132133,0.542,0.361,4,-13.809,1,0.028,0.601,2.93e-05,0.324,0.533,138.441,4,4,9
"Freddy Cannon","Patty Baby",124560,0.538,0.911,0,-6.145,1,0.0833,0.693,3.32e-05,0.0914,0.739,143.916,4,11,7
"Kodak Black","Patty Cake",198109,0.806,0.77,1,-6.464,0,0.19,0.0252,0,0.0645,0.406,152.094,4,68,3
"Pitbull","Pause",180266,0.833,0.921,1,-5.455,1,0.16,0.000153,0.000195,0.325,0.511,127.92,4,45,1
"Etta James","Pay Back",159000,0.744,0.628,9,-9.831,0,0.0725,0.701,0.000159,0.296,0.851,123.667,4,11,6
"The Knack","Pay The Devil (Ooo, Baby, Ooo)",249333,0.556,0.57,0,-6.739,1,0.0242,0.0699,0.000182,0.201,0.372,104.119,3,6,5
"The Hollies","Pay You Back With Interest",159666,0.328,0.512,0,-8.637,1,0.0346,0.592,0,0.068,0.545,121.785,4,18,7
"Meek Mill Featuring 21 Savage","Pay You Back",235262,0.821,0.694,9,-5.169,1,0.229,0.03,0,0.411,0.23,85.047,4,59,1
"B.B. King","Paying The Cost To Be The Boss",213560,0.665,0.844,5,-6.633,0,0.0675,0.0194,0.000162,0.0708,0.773,117.976,4,45,7
"Bee Gees","Paying The Price Of Love",252133,0.699,0.865,11,-7.367,0,0.0569,0.0626,8.44e-05,0.0327,0.811,105.027,4,35,9
"Bill Medley","Peace Brother Peace",256760,0.268,0.498,8,-9.126,1,0.0388,0.707,0,0.126,0.161,100.261,3,4,7
"Eddie Money","Peace In Our Time",300560,0.617,0.801,11,-7.333,1,0.0624,0.366,0,0.141,0.402,122.03,4,31,15
"Boston","Peace Of Mind",303586,0.421,0.677,4,-6.183,1,0.0343,0.000989,9.65e-05,0.211,0.683,127.67,4,70,8
"Nancy Wilson","Peace Of Mind",160106,0.652,0.457,0,-8.694,1,0.0258,0.182,0.00082,0.145,0.682,98.715,4,9,7
"Paul Revere & The Raiders Featuring Mark Lindsay","Peace Of Mind",147333,0.589,0.907,6,-8.492,0,0.0284,0.0244,0.000671,0.117,0.914,96.711,4,6,6
"Teresa Brewer","Peace Of Mind",225826,0.398,0.416,0,-12.349,1,0.0371,0.408,6.11e-05,0.662,0.508,132.036,3,1,4
"Cat Stevens","Peace Train",251333,0.615,0.582,0,-10.323,1,0.0402,0.132,3.81e-05,0.119,0.789,82.532,4,66,12
"Melanie","Peace Will Come (According To Plan)",199026,0.37,0.295,8,-7.307,1,0.0278,0.567,1.91e-06,0.146,0.269,132.453,4,26,7
"Eagles","Peaceful Easy Feeling",257962,0.568,0.634,4,-12.336,1,0.0282,0.494,0.00281,0.252,0.866,142.686,4,65,12
"Helen Reddy","Peaceful",173986,0.481,0.4,7,-11.236,1,0.0307,0.311,3.56e-06,0.112,0.442,139.614,4,26,17
"Fleetwood Mac","Peacekeeper",250760,0.604,0.759,7,-4.896,0,0.0317,0.136,1.38e-05,0.101,0.671,127.208,4,52,11
"Taylor Swift","Peace",234000,0.647,0.272,5,-12.906,1,0.0916,0.918,1.73e-05,0.0918,0.339,150.044,4,68,1
"The McGuire Sisters","Peace",163226,0.296,0.196,10,-13.655,1,0.0269,0.832,0,0.192,0.265,88.211,4,18,3
"112","Peaches & Cream",193093,0.677,0.52,4,-6.255,0,0.334,0.00277,0,0.0532,0.768,203.862,4,67,29
"The Presidents Of The United States Of America","Peaches",171693,0.417,0.849,1,-4.199,0,0.0481,0.0146,0.000387,0.0673,0.594,94.267,4,65,14
"Bobby McClure","Peak Of Love",173200,0.702,0.701,2,-6.671,1,0.0393,0.718,0,0.236,0.815,111.94,4,5,2
"Drake","Peak",206026,0.686,0.215,9,-13.54,0,0.0387,0.85,0.000123,0.106,0.273,91.998,4,65,2
"The Marathons","Peanut Butter",121720,0.593,0.583,2,-8.697,1,0.0312,0.403,0,0.311,0.915,118.76,4,13,12
"Twennynine Featuring Lenny White","Peanut Butter",217453,0.797,0.656,2,-8.619,1,0.0587,0.054,0.00205,0.131,0.962,119.456,4,29,4
"Andre Williams","Pearl Time",160400,0.696,0.825,1,-3.357,1,0.0435,0.632,0.0038,0.0758,0.93,123.637,4,5,2
"Tommy Roe","Pearl",176000,0.461,0.521,9,-10.265,1,0.0289,0.0288,0.00172,0.0963,0.771,166.237,4,4,9
"Lil Yachty Featuring Migos","Peek A Boo",247612,0.957,0.593,1,-6.982,1,0.301,0.06,0,0.0908,0.284,127.027,4,56,4
"The Beach Boys","Peggy Sue",136466,0.646,0.768,2,-7.567,1,0.0303,0.168,1.05e-05,0.0906,0.963,126.515,4,13,6
"Steely Dan","Peg",240293,0.806,0.573,0,-11.017,1,0.0317,0.066,0.000221,0.152,0.951,116.965,4,59,19
"The Pyramids","Penetration",122866,0.61,0.559,0,-10.073,0,0.0351,0.0611,0.823,0.232,0.945,88.375,4,31,10
"The Skyliners","Pennies From Heaven",129822,0.547,0.494,2,-7.222,0,0.0274,0.146,0,0.106,0.929,78.618,4,22,13
"The Cyrkle","Penny Arcade",159640,0.662,0.515,7,-12.466,1,0.0646,0.344,0,0.082,0.74,100.451,4,7,1
"The Beatles","Penny Lane",180893,0.651,0.488,9,-8.22,1,0.0316,0.212,0.026,0.136,0.49,113.038,4,68,10
"Lionel Richie","Penny Lover",226106,0.695,0.525,4,-9.203,1,0.0369,0.476,0.00231,0.0943,0.601,100.384,4,48,18
"Timmy Thomas","People Are Changin'",227266,0.961,0.537,5,-9.668,0,0.0861,0.296,0.698,0.109,0.766,108.826,4,9,5
"Billy Currington","People Are Crazy",231360,0.658,0.713,5,-4.95,1,0.0263,0.189,0.000433,0.121,0.455,141.941,4,61,20
"Depeche Mode","People Are People",232080,0.679,0.829,9,-7.288,0,0.0604,0.0875,2.46e-06,0.318,0.812,119.96,4,53,18
"LaTour","People Are Still Having Sex",316466,0.856,0.695,11,-10.643,0,0.0387,7.47e-05,0.804,0.0358,0.869,125.107,4,30,11
"The Doors","People Are Strange",130173,0.699,0.467,4,-8.578,0,0.0375,0.685,0,0.315,0.764,119.287,4,71,9
"Arrested Development","People Everyday",296333,0.844,0.609,10,-10.675,1,0.217,0.0074,0,0.563,0.725,91.117,4,59,23
"Jeff Beck & Rod Stewart","People Get Ready",292693,0.502,0.352,2,-14.362,1,0.0276,0.437,5.84e-05,0.293,0.358,143.685,4,53,10
"The Impressions","People Get Ready",163360,0.414,0.249,1,-12.674,1,0.0369,0.894,8.37e-06,0.188,0.341,142.442,3,61,8
"The Rascals","People Got To Be Free",181786,0.685,0.696,10,-8.137,1,0.0364,0.466,0,0.195,0.96,126.019,4,44,14
"Gino Vannelli","People Gotta Move",201600,0.75,0.612,7,-13.572,1,0.0464,0.221,0.0274,0.0569,0.747,117.085,4,31,13
"10cc","People In Love",225546,0.492,0.369,0,-13.376,1,0.0309,0.17,0.000598,0.112,0.461,117.576,4,32,7
"Kelly Clarkson","People Like Us",258906,0.6,0.787,6,-5.163,1,0.0366,0.043,0,0.358,0.608,127.977,4,49,10
"Eddie Fisher","People Like You",132773,0.49,0.339,0,-8.351,1,0.0375,0.924,0,0.183,0.649,120.94,4,0,3
"The Stylistics","People Make The World Go Round",211560,0.72,0.489,4,-9.157,0,0.0544,0.656,2.35e-06,0.357,0.777,83.129,4,47,11
"Kansas","People Of The South Wind",218693,0.627,0.92,9,-4.892,0,0.0518,0.203,2.53e-06,0.2,0.952,136.931,4,30,12
"The Dixie Cups","People Say",156965,0.587,0.361,0,-13.296,1,0.0518,0.381,0,0.206,0.868,125.5,4,23,9
"Arthur Conley","People Sure Act Funny",131093,0.646,0.68,5,-12.684,1,0.101,0.696,0,0.148,0.842,169.083,4,11,5
"Jim & Jean","People World",202706,0.617,0.631,0,-7.157,1,0.0359,0.363,0.000865,0.0568,0.653,109.055,4,12,3
"Barbra Streisand","People",254853,0.481,0.436,7,-8.299,1,0.0281,0.768,3.26e-05,0.0975,0.27,95.105,4,34,19
"Nat King Cole","People",161653,0.49,0.405,9,-9.805,1,0.0334,0.598,0,0.0835,0.566,111.003,4,8,1
"The Tymes","People",187653,0.487,0.677,0,-8.743,1,0.0375,0.755,0,0.291,0.632,106.139,4,10,8
"Lou Monte","Pepino The Italian Mouse",161320,0.792,0.529,1,-8.872,1,0.143,0.697,0,0.066,0.874,125.551,4,29,10
"Lou Monte","Pepino's Friend Pasqual (The Italian Pussy-Cat)",187320,0.787,0.641,9,-8.692,1,0.104,0.616,0,0.102,0.847,118.219,4,13,3
"The Peppers","Pepper Box",147226,0.6,0.757,11,-7.205,1,0.0399,0.106,0.000154,0.0809,0.375,105.638,4,16,7
"Joey Dee & the Starliters","Peppermint Twist - Part I",259266,0.326,0.816,8,-14.825,1,0.0527,0.881,0.326,0.185,0.826,147.213,4,0,19
"Willie Mitchell","Percolatin'",141253,0.889,0.363,5,-9.902,1,0.0454,0.854,0.874,0.106,0.871,127.929,4,8,3
"Billy Joe & The Checkmates","Percolator (Twist)",135986,0.717,0.549,6,-12.272,1,0.252,0.719,0.474,0.0746,0.695,148.628,4,8,13
"Monchy & Alexandra","Perdidos",267600,0.835,0.678,1,-4.416,0,0.0301,0.47,0,0.131,0.913,129.922,4,49,7
"Stacy Lattisaw & Johnny Gill","Perfect Combination",249933,0.607,0.526,0,-10.324,1,0.0377,0.376,0,0.14,0.6,133.617,4,47,9
"Lady Gaga","Perfect Illusion",182000,0.625,0.855,1,-5.471,0,0.0389,0.00138,0,0.357,0.668,124.977,4,67,6
"Weezer","Perfect Situation",254333,0.47,0.806,6,-4.1,1,0.0328,0.0271,0.000142,0.2,0.403,93.853,4,56,17
"Brad Paisley","Perfect Storm",234840,0.53,0.753,0,-5.551,1,0.0346,0.365,4.19e-05,0.269,0.38,123.979,4,54,17
"Lil Wayne","Perfect Strangers",249751,0.746,0.644,7,-2.605,1,0.232,0.4,0,0.095,0.542,146.178,4,57,1
"Scritti Politti","Perfect Way",284120,0.721,0.64,4,-11.882,0,0.0661,0.105,0.0394,0.353,0.741,104.576,4,42,25
"Alias","Perfect World",273333,0.607,0.735,11,-6.725,1,0.0295,0.0116,1.48e-05,0.191,0.536,115.339,4,21,4
"Huey Lewis & The News","Perfect World",247000,0.769,0.811,0,-5.609,1,0.0303,0.16,0,0.166,0.923,110.749,4,31,15
"Ed Sheeran","Perfect",263400,0.599,0.448,8,-6.312,1,0.0232,0.163,0,0.106,0.168,95.05,3,88,56
"Fairground Attraction","Perfect",216573,0.579,0.203,9,-15.216,0,0.0657,0.292,0,0.0866,0.602,138.798,4,46,6
"Glee Cast","Perfect",210613,0.603,0.634,8,-5.638,1,0.0399,0.082,0,0.269,0.445,92.032,4,43,1
"Logic","Perfect",100291,0.769,0.829,0,-5.228,1,0.0661,0.00948,6.65e-05,0.301,0.648,159.943,4,71,1
"One Direction","Perfect",230333,0.647,0.823,2,-5.231,1,0.0762,0.0598,0,0.119,0.396,99.933,4,75,20
"Sara Evans","Perfect",241840,0.39,0.879,4,-4.352,1,0.0813,0.0403,7.03e-06,0.376,0.616,206.072,4,33,19
"Simple Plan","Perfect",277026,0.494,0.672,3,-4.877,1,0.0405,0.0273,0,0.105,0.557,156.208,4,70,20
"The Smashing Pumpkins","Perfect",202853,0.644,0.912,7,-6.327,1,0.0436,0.00911,0.647,0.449,0.54,114.289,4,53,6
"The Ventures","Perfidia",124040,0.613,0.758,11,-11.948,0,0.0354,0.537,0.105,0.231,0.94,152.408,4,36,13
"Britney Spears","Perfume",239973,0.39,0.557,3,-6.344,1,0.0521,0.452,0,0.125,0.317,79.34,4,53,6
"Placido Domingo & John Denver","Perhaps Love",205840,0.368,0.267,9,-9.529,1,0.0359,0.963,0.00093,0.114,0.25,88.416,4,1,7
"David Cook","Permanent",176520,0.577,0.336,5,-7.263,1,0.0303,0.804,0,0.103,0.154,95.927,4,41,2
"Bad Bunny","Pero Ya No",160638,0.882,0.612,4,-6.103,1,0.118,0.0475,5.07e-06,0.182,0.742,147.982,4,73,1
"Rae Sremmurd","Perplexing Pegasus",204787,0.899,0.448,1,-8.789,1,0.0738,0.000692,2.36e-05,0.365,0.302,145.975,4,66,3
"Shakira Featuring Nicky Jam","Perro Fiel",195213,0.75,0.76,1,-4.836,1,0.198,0.187,0,0.0548,0.893,183.817,4,73,1
